--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
216,4,Sep 17 2016,8:00 PM,Sat,(7) Stanford,27,,Southern California,10,Stanford Stadium - Stanford California
217,4,Sep 17 2016,12:00 PM,Sat,(15) Tennessee,28,,Ohio,19,Neyland Stadium - Knoxville Tennessee
218,4,Sep 17 2016,,Sat,(17) Texas A&M,29,@,Auburn,16,Jordan Hare Stadium - Auburn Alabama
219,4,Sep 17 2016,12:00 PM,Sat,Texas Christian,41,,Iowa State,20,Amon G. Carter Stadium - Fort Worth Texas
220,4,Sep 17 2016,7:00 PM,Sat,Texas Tech,59,,Louisiana Tech,45,Jones AT&T Stadium - Lubbock Texas
221,4,Sep 17 2016,3:00 PM,Sat,Toledo,52,,Fresno State,17,Glass Bowl - Toledo Ohio
222,4,Sep 17 2016,7:00 PM,Sat,Troy,37,@,Southern Mississippi,31,M.M. Roberts Stadium - Hattiesburg Mississippi
223,4,Sep 17 2016,2:00 PM,Sat,Tulsa,58,,North Carolina A&T,21,Chapman Stadium - Tulsa Oklahoma
224,4,Sep 17 2016,10:15 PM,Sat,UCLA,17,@,Brigham Young,14,Lavell Edwards Stadium - Provo Utah
225,4,Sep 17 2016,10:30 PM,Sat,Utah,34,@,San Jose State,17,CEFCU Stadium - San Jose California
226,4,Sep 17 2016,3:30 PM,Sat,Virginia Tech,49,,Boston College,0,Lane Stadium - Blacksburg Virginia
227,4,Sep 17 2016,6:30 PM,Sat,Wake Forest,38,,Delaware,21,BB&T Field - Winston-Salem North Carolina
228,4,Sep 17 2016,8:00 PM,Sat,(8) Washington,41,,Portland State,3,Husky Stadium - Seattle Washington
229,4,Sep 17 2016,2:00 PM,Sat,Washington State,56,,Idaho,6,Martin Stadium - Pullman Washington
230,4,Sep 17 2016,3:30 PM,Sat,Western Kentucky,31,@,Miami (OH),24,Fred Yager Stadium - Oxford Ohio
231,4,Sep 17 2016,4:00 PM,Sat,Western Michigan,34,@,Illinois,10,Memorial Stadium - Champaign Illinois
232,4,Sep 17 2016,12:00 PM,Sat,(9) Wisconsin,23,,Georgia State,17,Camp Randall Stadium - Madison Wisconsin
233,4,Sep 17 2016,4:00 PM,Sat,Wyoming,45,,California-Davis,22,War Memorial Stadium - Laramie Wyoming
234,5,Sep 22 2016,7:30 PM,Thu,(5) Clemson,26,@,Georgia Tech,7,Bobby Dodd Stadium - Atlanta Georgia
235,5,Sep 23 2016,7:30 PM,Fri,Eastern Michigan,27,,Wyoming,24,Rynearson Stadium - Ypsilanti Michigan
236,5,Sep 23 2016,8:00 PM,Fri,Texas Christian,33,@,Southern Methodist,3,Gerald J. Ford Stadium - Dallas Texas
237,5,Sep 23 2016,9:00 PM,Fri,(24) Utah,31,,Southern California,27,Rice-Eccles Stadium - Salt Lake City Utah
238,5,Sep 24 2016,10:15 PM,Sat,Air Force,27,@,Utah State,20,Merlin Olsen Field at Maverik Stadium - Logan Utah
239,5,Sep 24 2016,12:00 PM,Sat,(1) Alabama,48,,Kent State,0,Bryant-Denny Stadium - Tuscaloosa Alabama
240,5,Sep 24 2016,3:30 PM,Sat,Appalachian State,45,@,Akron,38,InfoCision Stadium - Akron Ohio
241,5,Sep 24 2016,10:00 PM,Sat,Arizona State,51,,California,41,Sun Devil Stadium - Tempe Arizona
242,5,Sep 24 2016,6:00 PM,Sat,Auburn,18,,(18) Louisiana State,13,Jordan Hare Stadium - Auburn Alabama
243,5,Sep 24 2016,6:00 PM,Sat,Ball State,31,@,Florida Atlantic,27,FAU Football Stadium - Boca Raton Florida
244,5,Sep 24 2016,7:30 PM,Sat,(16) Baylor,35,,Oklahoma State,24,McLane Stadium - Waco Texas
245,5,Sep 24 2016,3:30 PM,Sat,Boise State,38,@,Oregon State,24,Reser Stadium - Corvallis Oregon
246,5,Sep 24 2016,1:00 PM,Sat,Boston College,42,,Wagner,10,Alumni Stadium - Chestnut Hill Massachusetts
247,5,Sep 24 2016,7:00 PM,Sat,Buffalo,23,,Army,20,University of Buffalo Stadium - Buffalo New York
248,5,Sep 24 2016,7:00 PM,Sat,Central Arkansas,28,@,Arkansas State,23,Centennial Bank Stadium - Jonesboro Arkansas
249,5,Sep 24 2016,7:00 PM,Sat,Central Florida,53,@,Florida International,14,FIU Stadium - Miami Florida
250,5,Sep 24 2016,3:30 PM,Sat,Cincinnati,27,,Miami (OH),20,Nippert Stadium - Cincinnati Ohio
251,5,Sep 24 2016,4:00 AM,Sat,Coastal Carolina,41,,Furman,21,
252,5,Sep 24 2016,5:30 PM,Sat,Colorado,41,@,Oregon,38,Autzen Stadium - Eugene Oregon
253,5,Sep 24 2016,3:30 PM,Sat,Duke,38,@,Notre Dame,35,Notre Dame Stadium - South Bend Indiana
254,5,Sep 24 2016,12:00 PM,Sat,(13) Florida State,55,@,South Florida,35,Raymond James Stadium - Tampa Florida
255,5,Sep 24 2016,7:00 PM,Sat,(6) Houston,64,@,Texas State,3,Bobcat Stadium - San Marcos Texas
256,5,Sep 24 2016,9:00 PM,Sat,Idaho,33,@,Nevada-Las Vegas,30,Sam Boyd Stadium - Las Vegas Nevada
257,5,Sep 24 2016,12:00 PM,Sat,Iowa,14,@,Rutgers,7,High Points Solutions Stadium - Piscataway New Jersey
258,5,Sep 24 2016,12:00 PM,Sat,Iowa State,44,,San Jose State,10,Jack Trice Stadium - Ames Iowa
259,5,Sep 24 2016,7:10 PM,Sat,Kansas State,35,,Missouri State,0,Bill Snyder Family Football Stadium - Manhattan Kansas
260,5,Sep 24 2016,7:30 PM,Sat,Kentucky,17,,South Carolina,10,Commonwealth Stadium - Lexington Kentucky
261,5,Sep 24 2016,8:00 PM,Sat,(3) Louisville,59,@,Marshall,28,Joan C. Edwards Stadium - Huntington West Virginia
262,5,Sep 24 2016,8:00 PM,Sat,Memphis,77,,Bowling Green,3,Liberty Bowl Memorial Stadium - Memphis Tennessee
263,5,Sep 24 2016,3:30 PM,Sat,(4) Michigan,49,,Penn State,10,Michigan Stadium - Ann Arbor Michigan
264,5,Sep 24 2016,7:00 PM,Sat,Middle Tennessee State,38,,Louisiana Tech,34,Johnny "Red" Floyd Stadium - Murfreesboro Tennessee
265,5,Sep 24 2016,12:00 PM,Sat,Minnesota,31,,Colorado State,24,TCF Bank Stadium - Minneapolis Minnesota
266,5,Sep 24 2016,12:00 PM,Sat,(23) Mississippi,45,,(12) Georgia,14,Vaught-Hemingway Stadium - Oxford Mississippi
267,5,Sep 24 2016,3:30 PM,Sat,Mississippi State,47,@,Massachusetts,35,Gillette Stadium - Foxborough Massachusetts
268,5,Sep 24 2016,4:00 PM,Sat,Missouri,79,,Delaware State,0,Faurot Field - Columbia Missouri
269,5,Sep 24 2016,7:30 PM,Sat,(20) Nebraska,24,@,Northwestern,13,Ryan Field - Evanston Illinois
270,5,Sep 24 2016,3:30 PM,Sat,North Carolina,37,,Pittsburgh,36,Kenan Memorial Stadium - Chapel Hill North Carolina
271,5,Sep 24 2016,6:00 PM,Sat,North Texas,42,@,Rice,35,Rice Stadium - Houston Texas
272,5,Sep 24 2016,2:00 PM,Sat,Ohio,37,,Gardner-Webb,21,Peden Stadium - Athens Ohio
273,5,Sep 24 2016,3:30 PM,Sat,Old Dominion,33,,Texas-San Antonio,19,S.B. Ballard Stadium - Norfolk Virginia
274,5,Sep 24 2016,12:00 PM,Sat,Purdue,24,,Nevada,14,Ross Ade Stadium - West Lafayette Indiana
275,5,Sep 24 2016,7:00 PM,Sat,South Alabama,41,,Nicholls State,40,Ladd-Peebles Stadium - Mobile Alabama
276,5,Sep 24 2016,,Sat,Southern Mississippi,34,@,Texas-El Paso,7,Sun Bowl Stadium - El Paso Texas
277,5,Sep 24 2016,8:00 PM,Sat,(7) Stanford,22,@,UCLA,13,Rose Bowl - Pasadena California
278,5,Sep 24 2016,1:00 PM,Sat,Syracuse,31,@,Connecticut,24,Rentschler Field - East Hartford Connecticut
279,5,Sep 24 2016,12:00 PM,Sat,Temple,48,,Charlotte,20,Lincoln Financial Field - Philadelphia Pennsylvania
280,5,Sep 24 2016,3:30 PM,Sat,(14) Tennessee,38,,(19) Florida,28,Neyland Stadium - Knoxville Tennessee
281,5,Sep 24 2016,,Sat,(10) Texas A&M,45,N,(17) Arkansas,24,AT&T Stadium - Arlington Texas
282,5,Sep 24 2016,7:00 PM,Sat,Troy,52,,New Mexico State,6,Veterans Memorial Stadium - Troy Alabama
283,5,Sep 24 2016,8:00 PM,Sat,Tulane,41,,Louisiana,39,Yulman Stadium - New Orleans Louisiana
284,5,Sep 24 2016,4:30 PM,Sat,Tulsa,48,@,Fresno State,41,Bulldog Stadium - Fresno California
285,5,Sep 24 2016,4:30 PM,Sat,Vanderbilt,31,@,Western Kentucky,30,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
286,5,Sep 24 2016,12:30 PM,Sat,Virginia,49,,Central Michigan,35,Scott Stadium - Charlottesville Virginia
287,5,Sep 24 2016,12:30 PM,Sat,Virginia Tech,54,,East Carolina,17,Lane Stadium - Blacksburg Virginia
288,5,Sep 24 2016,3:30 PM,Sat,Wake Forest,33,@,Indiana,28,Memorial Stadium - Bloomington Indiana
289,5,Sep 24 2016,10:30 PM,Sat,(9) Washington,35,@,Arizona,28,Arizona Stadium - Tucson Arizona
290,5,Sep 24 2016,3:30 PM,Sat,West Virginia,35,N,Brigham Young,32,FedEx Field - Landover Maryland
291,5,Sep 24 2016,3:30 PM,Sat,Western Illinois,28,@,Northern Illinois,23,Huskie Stadium - DeKalb Illinois
292,5,Sep 24 2016,7:00 PM,Sat,Western Michigan,49,,Georgia Southern,31,Waldo Stadium - Kalamazoo Michigan
293,5,Sep 24 2016,12:00 PM,Sat,(11) Wisconsin,30,@,(8) Michigan State,6,Spartan Stadium - East Lansing Michigan
294,6,Sep 29 2016,8:00 PM,Thu,(6) Houston,42,,Connecticut,14,TDECU Stadium - Houston Texas
295,6,Sep 29 2016,8:30 PM,Thu,Texas Tech,55,,Kansas,19,Jones AT&T Stadium - Lubbock Texas
296,6,Sep 30 2016,,Fri,Brigham Young,55,,Toledo,53,Lavell Edwards Stadium - Provo Utah
297,6,Sep 30 2016,9:00 PM,Fri,(10) Washington,44,,(7) Stanford,6,Husky Stadium - Seattle Washington
298,6,Oct 1 2016,3:30 PM,Sat,Air Force,28,,Navy,14,Falcon Stadium - Colorado Springs Colorado
299,6,Oct 1 2016,3:30 PM,Sat,Akron,31,@,Kent State,27,Dix Stadium - Kent Ohio
300,6,Oct 1 2016,7:00 PM,Sat,(1) Alabama,34,,Kentucky,6,Bryant-Denny Stadium - Tuscaloosa Alabama
301,6,Oct 1 2016,12:00 PM,Sat,Appalachian State,17,,Georgia State,3,Kidd Brewer Stadium - Boone North Carolina
302,6,Oct 1 2016,12:00 PM,Sat,(20) Arkansas,52,,Alcorn State,10,War Memorial Stadium - Little Rock Arkansas
303,6,Oct 1 2016,3:30 PM,Sat,Auburn,58,,Louisiana-Monroe,7,Jordan Hare Stadium - Auburn Alabama
304,6,Oct 1 2016,12:00 PM,Sat,(13) Baylor,45,@,Iowa State,42,Jack Trice Stadium - Ames Iowa
305,6,Oct 1 2016,10:15 PM,Sat,(24) Boise State,21,,Utah State,10,Albertsons Stadium - Boise Idaho
306,6,Oct 1 2016,1:00 PM,Sat,Boston College,35,,Buffalo,3,Alumni Stadium - Chestnut Hill Massachusetts
307,6,Oct 1 2016,6:00 PM,Sat,California,28,,(18) Utah,23,Memorial Stadium - Berkeley California
308,6,Oct 1 2016,12:00 PM,Sat,Central Florida,47,@,East Carolina,29,Dowdy-Ficklen Stadium - Greenville North Carolina
309,6,Oct 1 2016,4:00 AM,Sat,Charleston Southern,59,@,Coastal Carolina,58,
310,6,Oct 1 2016,8:00 PM,Sat,(5) Clemson,42,,(3) Louisville,36,Clemson Memorial Stadium - Clemson South Carolina
311,6,Oct 1 2016,2:30 PM,Sat,Colorado,47,,Oregon State,6,Folsom Field - Boulder Colorado
312,6,Oct 1 2016,3:00 PM,Sat,Eastern Michigan,28,@,Bowling Green,25,Doyt L. Perry Stadium - Bowling Green Ohio
313,6,Oct 1 2016,12:00 PM,Sat,(23) Florida,13,@,Vanderbilt,6,Vanderbilt Stadium - Nashville Tennessee
314,6,Oct 1 2016,7:00 PM,Sat,Florida International,33,,Florida Atlantic,31,FIU Stadium - Miami Florida
315,6,Oct 1 2016,11:59 PM,Sat,Hawaii,38,,Nevada,17,Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu Hawaii
316,6,Oct 1 2016,8:00 PM,Sat,Indiana,24,,(17) Michigan State,21,Memorial Stadium - Bloomington Indiana
317,6,Oct 1 2016,7:30 PM,Sat,Louisiana State,42,,Missouri,7,Tiger Stadium - Baton Rouge Louisiana
318,6,Oct 1 2016,,Sat,Louisiana Tech,28,,Texas-El Paso,7,Joe Aillet Stadium - Ruston Louisiana
319,6,Oct 1 2016,3:30 PM,Sat,Maryland,50,,Purdue,7,Maryland Stadium - College Park Maryland
320,6,Oct 1 2016,12:00 PM,Sat,(14) Miami (FL),35,@,Georgia Tech,21,Bobby Dodd Stadium - Atlanta Georgia
321,6,Oct 1 2016,3:30 PM,Sat,(4) Michigan,14,,(8) Wisconsin,7,Michigan Stadium - Ann Arbor Michigan
322,6,Oct 1 2016,7:00 PM,Sat,Middle Tennessee State,30,@,North Texas,13,Apogee Stadium - Denton Texas
323,6,Oct 1 2016,7:00 PM,Sat,(16) Mississippi,48,,Memphis,28,Vaught-Hemingway Stadium - Oxford Mississippi
324,6,Oct 1 2016,3:30 PM,Sat,(15) Nebraska,31,,Illinois,16,Memorial Stadium - Lincoln Nebraska
325,6,Oct 1 2016,10:30 PM,Sat,Nevada-Las Vegas,45,,Fresno State,20,Sam Boyd Stadium - Las Vegas Nevada
326,6,Oct 1 2016,4:00 PM,Sat,New Mexico,48,,San Jose State,41,University Stadium - Albuquerque New Mexico
327,6,Oct 1 2016,8:00 PM,Sat,New Mexico State,37,,Louisiana,31,Aggie Memorial Stadium - Las Cruces New Mexico
328,6,Oct 1 2016,3:30 PM,Sat,North Carolina,37,@,(12) Florida State,35,Doak Campbell Stadium - Tallahassee Florida
329,6,Oct 1 2016,3:30 PM,Sat,North Carolina State,33,,Wake Forest,16,Carter Finley Stadium - Raleigh North Carolina
330,6,Oct 1 2016,3:30 PM,Sat,Northern Illinois,31,@,Ball State,24,Scheumann Stadium - Muncie Indiana
331,6,Oct 1 2016,12:00 PM,Sat,Northwestern,38,@,Iowa,31,Kinnick Stadium - Iowa City Iowa
332,6,Oct 1 2016,12:00 PM,Sat,Notre Dame,50,N,Syracuse,33,MetLife Stadium - East Rutherford New Jersey
333,6,Oct 1 2016,2:30 PM,Sat,Ohio,17,@,Miami (OH),7,Fred Yager Stadium - Oxford Ohio
334,6,Oct 1 2016,12:00 PM,Sat,(2) Ohio State,58,,Rutgers,0,Ohio Stadium - Columbus Ohio
335,6,Oct 1 2016,5:00 PM,Sat,Oklahoma,52,@,(21) Texas Christian,46,Amon G. Carter Stadium - Fort Worth Texas
336,6,Oct 1 2016,12:00 PM,Sat,Oklahoma State,49,,(22) Texas,31,Boone Pickens Stadium - Stillwater Oklahoma
337,6,Oct 1 2016,6:00 PM,Sat,Old Dominion,52,@,Charlotte,17,Jerry Richardson Stadium - Charlotte North Carolina
338,6,Oct 1 2016,3:30 PM,Sat,Penn State,29,,Minnesota,26,Beaver Stadium - University Park Pennsylvania
339,6,Oct 1 2016,7:30 PM,Sat,Pittsburgh,43,,Marshall,27,Heinz Field - Pittsburgh Pennsylvania
340,6,Oct 1 2016,8:00 PM,Sat,South Alabama,42,,(19) San Diego State,24,Ladd-Peebles Stadium - Mobile Alabama
341,6,Oct 1 2016,7:00 PM,Sat,South Florida,45,@,Cincinnati,20,Nippert Stadium - Cincinnati Ohio
342,6,Oct 1 2016,8:30 PM,Sat,Southern California,41,,Arizona State,20,Los Angeles Memorial Coliseum - Los Angeles California
343,6,Oct 1 2016,7:00 PM,Sat,Southern Mississippi,44,,Rice,28,M.M. Roberts Stadium - Hattiesburg Mississippi
344,6,Oct 1 2016,12:00 PM,Sat,Temple,45,,Southern Methodist,20,Lincoln Financial Field - Philadelphia Pennsylvania
345,6,Oct 1 2016,3:30 PM,Sat,(11) Tennessee,34,@,(25) Georgia,31,Sanford Stadium - Athens Georgia
346,6,Oct 1 2016,,Sat,(9) Texas A&M,24,@,South Carolina,13,Williams-Brice Stadium - Columbia South Carolina
347,6,Oct 1 2016,7:30 PM,Sat,Texas State,48,,Incarnate Word,17,Bobcat Stadium - San Marcos Texas
348,6,Oct 1 2016,5:00 PM,Sat,Troy,34,@,Idaho,13,Kibbie Dome - Moscow Idaho
349,6,Oct 1 2016,3:30 PM,Sat,Tulane,31,@,Massachusetts,24,Warren McGuirk Alumni Stadium - Amherst Massachusetts
350,6,Oct 1 2016,10:30 PM,Sat,UCLA,45,,Arizona,24,Rose Bowl - Pasadena California
351,6,Oct 1 2016,12:30 PM,Sat,Virginia,34,@,Duke,20,Wallace Wade Stadium - Durham North Carolina
352,6,Oct 1 2016,9:30 PM,Sat,Washington State,51,,Oregon,33,Martin Stadium - Pullman Washington
353,6,Oct 1 2016,3:30 PM,Sat,West Virginia,17,,Kansas State,16,Milan Puskar Stadium - Morgantown West Virginia
354,6,Oct 1 2016,7:00 PM,Sat,Western Kentucky,50,,Houston Baptist,3,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
355,6,Oct 1 2016,7:00 PM,Sat,Western Michigan,49,@,Central Michigan,10,Kelly/Shorts Stadium - Mount Pleasant Michigan
356,6,Oct 1 2016,10:15 PM,Sat,Wyoming,38,@,Colorado State,17,Sonny Lubick Field at Hughes Stadium - Fort Collins Colorado
357,7,Oct 5 2016,8:00 PM,Wed,Arkansas State,27,,Georgia Southern,26,Centennial Bank Stadium - Jonesboro Arkansas
358,7,Oct 6 2016,8:00 PM,Thu,Louisiana Tech,55,,Western Kentucky,52,Joe Aillet Stadium - Ruston Louisiana
359,7,Oct 6 2016,8:00 PM,Thu,Memphis,34,,Temple,27,Liberty Bowl Memorial Stadium - Memphis Tennessee
360,7,Oct 7 2016,9:00 PM,Fri,(19) Boise State,49,@,New Mexico,21,University Stadium - Albuquerque New Mexico
361,7,Oct 7 2016,7:30 PM,Fri,(3) Clemson,56,@,Boston College,10,Alumni Stadium - Chestnut Hill Massachusetts
362,7,Oct 7 2016,8:00 PM,Fri,Old Dominion,36,,Massachusetts,16,S.B. Ballard Stadium - Norfolk Virginia
363,7,Oct 7 2016,8:00 PM,Fri,Tulsa,43,,Southern Methodist,40,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
364,7,Oct 8 2016,3:00 PM,Sat,Akron,35,,Miami (OH),13,InfoCision Stadium - Akron Ohio
365,7,Oct 8 2016,7:00 PM,Sat,(1) Alabama,49,@,(16) Arkansas,30,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
366,7,Oct 8 2016,10:30 PM,Sat,Arizona State,23,,UCLA,20,Sun Devil Stadium - Tempe Arizona
367,7,Oct 8 2016,12:00 PM,Sat,Auburn,38,@,Mississippi State,14,Davis Wade Stadium - Starkville Mississippi
368,7,Oct 8 2016,3:30 PM,Sat,Brigham Young,31,@,Michigan State,14,Spartan Stadium - East Lansing Michigan
369,7,Oct 8 2016,3:30 PM,Sat,Central Michigan,24,,Ball State,21,Kelly/Shorts Stadium - Mount Pleasant Michigan
370,7,Oct 8 2016,10:00 PM,Sat,Colorado State,31,,Utah State,24,Sonny Lubick Field at Hughes Stadium - Fort Collins Colorado
371,7,Oct 8 2016,11:30 AM,Sat,Connecticut,20,,Cincinnati,9,Rentschler Field - East Hartford Connecticut
372,7,Oct 8 2016,3:30 PM,Sat,Duke,13,,Army,6,Wallace Wade Stadium - Durham North Carolina
373,7,Oct 8 2016,,Sat,Florida International,35,@,Texas-El Paso,21,Sun Bowl Stadium - El Paso Texas
374,7,Oct 8 2016,8:00 PM,Sat,(23) Florida State,20,@,(10) Miami (FL),19,Hard Rock Stadium - Miami Gardens Florida
375,7,Oct 8 2016,3:30 PM,Sat,Georgia State,41,,Texas State,21,Georgia Dome - Atlanta Georgia
376,7,Oct 8 2016,4:30 PM,Sat,Hawaii,34,@,San Jose State,17,CEFCU Stadium - San Jose California
377,7,Oct 8 2016,7:00 PM,Sat,Idaho,34,@,Louisiana-Monroe,31,Malone Stadium - Monroe Louisiana
378,7,Oct 8 2016,12:00 PM,Sat,Iowa,14,@,Minnesota,7,TCF Bank Stadium - Minneapolis Minnesota
379,7,Oct 8 2016,7:00 PM,Sat,Kansas State,44,,Texas Tech,38,Bill Snyder Family Football Stadium - Manhattan Kansas
380,7,Oct 8 2016,3:30 PM,Sat,Kent State,44,@,Buffalo,20,University of Buffalo Stadium - Buffalo New York
381,7,Oct 8 2016,4:00 PM,Sat,Kentucky,20,,Vanderbilt,13,Commonwealth Stadium - Lexington Kentucky
382,7,Oct 8 2016,7:00 PM,Sat,(4) Michigan,78,@,Rutgers,0,High Points Solutions Stadium - Piscataway New Jersey
383,7,Oct 8 2016,3:00 PM,Sat,Navy,46,,(6) Houston,40,Navy Marine Corps Memorial Stadium - Annapolis Maryland
384,7,Oct 8 2016,7:00 PM,Sat,Nevada,27,,Fresno State,22,MacKay Stadium - Reno Nevada
385,7,Oct 8 2016,12:00 PM,Sat,North Carolina State,10,,Notre Dame,3,Carter Finley Stadium - Raleigh North Carolina
386,7,Oct 8 2016,7:00 PM,Sat,North Texas,38,,Marshall,21,Apogee Stadium - Denton Texas
387,7,Oct 8 2016,2:00 PM,Sat,Ohio,30,,Bowling Green,24,Peden Stadium - Athens Ohio
388,7,Oct 8 2016,3:30 PM,Sat,(2) Ohio State,38,,Indiana,17,Ohio Stadium - Columbus Ohio
389,7,Oct 8 2016,12:00 PM,Sat,(20) Oklahoma,45,N,Texas,40,Cotton Bowl Stadium - Dallas Texas
390,7,Oct 8 2016,3:30 PM,Sat,Oklahoma State,38,,Iowa State,31,Boone Pickens Stadium - Stillwater Oklahoma
391,7,Oct 8 2016,9:00 PM,Sat,Oregon State,47,,California,44,Reser Stadium - Corvallis Oregon
392,7,Oct 8 2016,12:00 PM,Sat,Penn State,38,,Maryland,14,Beaver Stadium - University Park Pennsylvania
393,7,Oct 8 2016,12:30 PM,Sat,Pittsburgh,37,,Georgia Tech,34,Heinz Field - Pittsburgh Pennsylvania
394,7,Oct 8 2016,3:30 PM,Sat,Purdue,34,@,Illinois,31,Memorial Stadium - Champaign Illinois
395,7,Oct 8 2016,10:30 PM,Sat,San Diego State,26,,Nevada-Las Vegas,7,Qualcomm Stadium - San Diego California
396,7,Oct 8 2016,12:00 PM,Sat,South Florida,38,,East Carolina,22,Raymond James Stadium - Tampa Florida
397,7,Oct 8 2016,4:00 PM,Sat,Southern California,21,,(21) Colorado,17,Los Angeles Memorial Coliseum - Los Angeles California
398,7,Oct 8 2016,,Sat,(8) Texas A&M,45,,(9) Tennessee,38,Kyle Field - College Station Texas
399,7,Oct 8 2016,12:00 PM,Sat,Texas Christian,24,@,Kansas,23,Memorial Stadium - Lawrence Kansas
400,7,Oct 8 2016,12:00 PM,Sat,Texas-San Antonio,55,,Southern Mississippi,32,Alamodome - San Antonio Texas
401,7,Oct 8 2016,3:00 PM,Sat,Toledo,35,@,Eastern Michigan,20,Rynearson Stadium - Ypsilanti Michigan
402,7,Oct 8 2016,10:00 PM,Sat,(24) Utah,36,,Arizona,23,Rice-Eccles Stadium - Salt Lake City Utah
403,7,Oct 8 2016,3:30 PM,Sat,(25) Virginia Tech,34,@,(17) North Carolina,3,Kenan Memorial Stadium - Chapel Hill North Carolina
404,7,Oct 8 2016,7:00 PM,Sat,Wake Forest,28,,Syracuse,9,BB&T Field - Winston-Salem North Carolina
405,7,Oct 8 2016,7:30 PM,Sat,(5) Washington,70,@,Oregon,21,Autzen Stadium - Eugene Oregon
406,7,Oct 8 2016,10:30 PM,Sat,Washington State,42,@,(15) Stanford,16,Stanford Stadium - Stanford California
407,7,Oct 8 2016,6:30 PM,Sat,Western Michigan,45,,Northern Illinois,30,Waldo Stadium - Kalamazoo Michigan
408,7,Oct 8 2016,3:30 PM,Sat,Wyoming,35,,Air Force,26,War Memorial Stadium - Laramie Wyoming
409,7,Oct 9 2016,12:00 PM,Sun,Charlotte,28,@,Florida Atlantic,23,FAU Football Stadium - Boca Raton Florida
410,7,Oct 9 2016,2:30 PM,Sun,Georgia,28,@,South Carolina,14,Williams-Brice Stadium - Columbia South Carolina
411,8,Oct 12 2016,8:00 PM,Wed,Appalachian State,24,@,Louisiana,0,Cajun Field - Lafayette Louisiana
412,8,Oct 14 2016,,Fri,Brigham Young,28,,Mississippi State,21,Lavell Edwards Stadium - Provo Utah
413,8,Oct 14 2016,7:00 PM,Fri,(7) Louisville,24,,Duke,14,Papa John's Cardinal Stadium - Louisville Kentucky
414,8,Oct 14 2016,8:00 PM,Fri,Memphis,24,@,Tulane,14,Yulman Stadium - New Orleans Louisiana
415,8,Oct 14 2016,10:00 PM,Fri,San Diego State,17,@,Fresno State,3,Bulldog Stadium - Fresno California
416,8,Oct 15 2016,3:30 PM,Sat,(1) Alabama,49,@,(9) Tennessee,10,Neyland Stadium - Knoxville Tennessee
417,8,Oct 15 2016,7:00 PM,Sat,(22) Arkansas,34,,(12) Mississippi,30,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
418,8,Oct 15 2016,7:00 PM,Sat,Arkansas State,17,,South Alabama,7,Centennial Bank Stadium - Jonesboro Arkansas
419,8,Oct 15 2016,12:00 PM,Sat,Army,62,,Lafayette,7,Michie Stadium - West Point New York
420,8,Oct 15 2016,3:30 PM,Sat,Ball State,31,@,Buffalo,21,University of Buffalo Stadium - Buffalo New York
421,8,Oct 15 2016,3:30 PM,Sat,(11) Baylor,49,,Kansas,7,McLane Stadium - Waco Texas
422,8,Oct 15 2016,10:15 PM,Sat,(15) Boise State,28,,Colorado State,23,Albertsons Stadium - Boise Idaho
423,8,Oct 15 2016,3:30 PM,Sat,Central Michigan,34,@,Northern Illinois,28,Huskie Stadium - DeKalb Illinois
424,8,Oct 15 2016,12:00 PM,Sat,(3) Clemson,24,,North Carolina State,17,Clemson Memorial Stadium - Clemson South Carolina
425,8,Oct 15 2016,4:00 AM,Sat,Coastal Carolina,17,@,Gardner-Webb,7,
426,8,Oct 15 2016,8:00 PM,Sat,Colorado,40,,Arizona State,16,Folsom Field - Boulder Colorado
427,8,Oct 15 2016,,Sat,Eastern Michigan,27,@,Ohio,20,Peden Stadium - Athens Ohio
428,8,Oct 15 2016,4:00 PM,Sat,(18) Florida,40,,Missouri,14,Ben Hill Griffin Stadium - Gainesville Florida
429,8,Oct 15 2016,6:00 PM,Sat,Florida International,27,@,Charlotte,26,Jerry Richardson Stadium - Charlotte North Carolina
430,8,Oct 15 2016,3:30 PM,Sat,(14) Florida State,17,,Wake Forest,6,Doak Campbell Stadium - Tallahassee Florida
431,8,Oct 15 2016,12:30 PM,Sat,Georgia Tech,35,,Georgia Southern,24,Bobby Dodd Stadium - Atlanta Georgia
432,8,Oct 15 2016,7:00 PM,Sat,(13) Houston,38,,Tulsa,31,TDECU Stadium - Houston Texas
433,8,Oct 15 2016,5:00 PM,Sat,Idaho,55,,New Mexico State,23,Kibbie Dome - Moscow Idaho
434,8,Oct 15 2016,12:00 PM,Sat,Illinois,24,@,Rutgers,7,High Points Solutions Stadium - Piscataway New Jersey
435,8,Oct 15 2016,12:00 PM,Sat,Iowa,49,@,Purdue,35,Ross Ade Stadium - West Lafayette Indiana
436,8,Oct 15 2016,7:30 PM,Sat,Louisiana State,45,,Southern Mississippi,10,Tiger Stadium - Baton Rouge Louisiana
